gene	wt	wt_1	wt_2	ko	ko_1	ko_2
Tnks1bp1	1521	987	6250	999	1609	1082
Tnks2	10143	6880	41513	6774	8831	7771
Tnmd	0	0	0	0	0	0
Tnn	2	1	11	2	3	3
Tnnc1	5	6	9	2	2	8
Tnnc2	5	6	40	3	0	4
Tnni1	95	42	441	43	53	54
Tnni2	1	3	2	0	0	4
Tnni3	58	44	282	48	83	85
Tnni3k	0	0	0	0	0	0
Tnnt1	396	291	1416	265	284	241
Tnnt2	80	42	425	58	91	57
Tnnt3	24	12	124	16	36	16
Tnp1	0	0	0	0	0	0
Tnp2	39	24	148	11	26	23
Tnpo1	15380	10833	64778	10821	11467	11292
Tnpo2	8281	6177	35687	5372	7190	6062
Tnpo3	12199	8493	49128	7930	9899	8890
Tnr	0	0	1	0	0	0
Tnrc18	5063	3724	23229	3332	4714	3889
Tnrc6a	10377	7396	45634	6934	9414	7634
Tnrc6b	3303	2332	15469	2226	3422	2543
Tnrc6c	4797	3495	21431	3038	4360	3403
Tns1	1845	1500	9783	1386	1185	897
Tns2	41	41	163	32	36	42
Tns3	65	62	310	67	95	114
Tns4	46	13	67	12	40	26
Tnxb	0	1	0	4	0	0
Tob1	657	477	2798	432	626	511
Tob2	9269	6344	38266	5833	7711	6616
Toe1	3250	2329	13001	2069	2691	2401
Tollip	2833	2038	11859	1843	2808	2314
Tom1	135	85	511	98	140	123
Tom1l1	16	9	93	10	27	25
Tom1l2	770	579	3397	488	793	623
Tomm20	10346	7260	39805	6504	8472	7600
Tomm20l	2	0	2	0	0	1
Tomm22	7927	5532	30551	4974	7345	6078
Tomm34	6871	4629	28544	4521	6064	4955
Tomm40	22285	16114	87917	14077	17975	15937
Tomm40l	1893	1309	7846	1285	1932	1534
Tomm5	5624	3985	20398	3454	4571	4144
Tomm6	5702	3916	22752	3841	5654	4827
Tomm6os	30	21	114	28	32	19
Tomm7	4047	2856	15838	2359	3546	2962
Tomm70a	18879	13576	77309	12970	16698	15141
Tomt	230	199	1015	158	233	173
Tonsl	4876	3488	20556	3071	3530	3316
Top1	16960	12263	72426	11678	14760	13588
Top1mt	2761	2052	10373	1821	2439	2043
Top2a	34769	25320	158186	22857	19844	22635
Top2b	16027	11399	70272	10934	14279	12468
Top3a	2667	1798	10688	1662	2088	1863
Top3b	3240	2207	13960	2030	2817	2189
Topaz1	0	0	0	0	0	0
Topbp1	21742	15577	93438	14435	16980	15590
Topors	5170	3719	21138	3396	4112	3786
Toporsl	0	0	0	0	0	0
Toporsos	63	40	225	36	59	47
Tor1a	3046	2049	11697	1868	2457	2302
Tor1aip1	4056	2943	17131	2677	4118	3198
Tor1aip2	5699	3810	23824	3693	5065	4285
Tor1b	3370	2321	13798	2186	3334	2740
Tor2a	1871	1404	7585	1190	1669	1518
Tor3a	577	414	2575	257	390	380
Tor4a	2922	2124	12828	1911	3103	2488
Tox	1619	1145	6843	937	1577	872
Tox2	74	62	286	59	148	150
Tox3	3	3	7	0	3	3
Tox4	9343	6548	39249	6038	8664	7010
Tpbg	6	6	22	0	12	18
Tpbpa	0	0	0	0	0	0
Tpbpb	0	0	0	0	0	0
Tpcn1	2003	1383	8683	1300	1796	1472
Tpcn2	739	531	2978	465	713	530
Tpd52	2235	1561	8102	1554	2313	1772
Tpd52l1	0	0	0	0	0	0
Tpd52l2	3863	2646	15632	2386	3761	3053
Tpgs1	1620	1169	6582	1053	1477	1266
Tpgs2	814	557	3422	559	739	526
Tph1	0	0	1	0	0	3
Tph2	0	0	2	0	0	0
Tpi1	34716	22423	126465	19349	22826	24247
Tpk1	318	227	1383	208	315	233
Tpm1	2933	2089	11888	1886	2399	2258
Tpm2	21	12	77	16	12	13
Tpm3	36622	25781	156850	25197	36178	31587
Tpm4	11970	8526	48171	7844	10646	10528
Tpmt	113	81	474	89	106	101
Tpo	0	0	0	0	0	0
Tpp1	2569	1765	9992	1639	2447	1974
Tpp2	10321	7608	43889	6901	8691	7942
Tppp	20	13	94	9	12	11
Tppp2	0	0	1	0	0	0
Tppp3	21	10	100	14	34	25
Tpr	28907	21057	126278	19915	23353	20907
Tpra1	1358	823	5456	754	1418	961
Tprg	4	5	12	4	1	3
Tprgl	4840	3401	19663	3221	5182	4052
Tprkb	3222	2325	12673	2220	2637	2238
Tprn	2555	1836	10026	1627	2101	1897
Tpsab1	0	0	0	0	0	0
Tpsb2	0	0	0	0	0	1
Tpsg1	0	0	0	0	0	0
Tpst1	2874	2170	12058	1948	2382	2175
Tpst2	4210	2820	16405	2611	3659	3249
Tpt1	80226	49434	324937	45656	70772	55371
Tpte	1	0	8	2	3	1
